sample_id,evaluation_split,category,base_norule_correct,base_rule_correct,outcome_grpo_rule_correct,krpo_rule_correct
mcb-v1.0.7-test-0041,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0042,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0043,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0044,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0045,seen_calculator,risk,0,1,0,1
mcb-v1.0.7-test-0046,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0047,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0048,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0049,seen_calculator,risk,1,0,0,0
mcb-v1.0.7-test-0050,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0051,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0052,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0053,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0054,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0055,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0056,seen_calculator,risk,1,1,1,1
mcb-v1.0.7-test-0057,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0058,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0059,seen_calculator,risk,0,0,1,1
mcb-v1.0.7-test-0060,seen_calculator,risk,0,0,1,0
mcb-v1.0.7-test-0121,seen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0122,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0123,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0124,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0125,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0126,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0127,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0128,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0129,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0130,seen_calculator,risk,1,1,0,0
mcb-v1.0.7-test-0131,seen_calculator,risk,0,0,0,1
mcb-v1.0.7-test-0132,seen_calculator,risk,1,1,1,0
mcb-v1.0.7-test-0133,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0134,seen_calculator,risk,0,1,1,0
mcb-v1.0.7-test-0135,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0136,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0137,seen_calculator,risk,0,0,0,0
mcb-v1.0.7-test-0138,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0139,seen_calculator,risk,0,1,0,0
mcb-v1.0.7-test-0140,seen_calculator,risk,0,1,1,1
mcb-v1.0.7-test-0201,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0202,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0203,seen_calculator,severity,0,0,1,1
mcb-v1.0.7-test-0204,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0205,seen_calculator,severity,0,1,1,1
mcb-v1.0.7-test-0206,seen_calculator,severity,0,0,1,1
